"","X099535T","X090608T","X098699T","X11770T","X81023T","X81032T","X85421T","X86279T","X86960T","X87823T","X88659T","X88674T","X88724T","X89290T","X96484T"
"CXCR2",-2.19010816649822,-2.93119438360558,-1.13744783679611,-2.29075877853101,1.80831090596503,-2.55383271698694,0.390051299729599,-2.74050935479252,2.46075828790059,-1.64351359038458,-2.23900755109949,1.44730940983262,1.43959654385504,-2.05067574385428,-0.232389267129956
"CYP4F3",0.196430787861038,-2.40907132442338,0.913017676503361,-0.562120318778595,0.612843143960014,-5.65476805919922,1.60737529553989,-0.343679372075838,-1.94019619979591,-4.31586997152621,3.04913061645336,0.344374033285733,1.50261575151608,0.150143704528705,3.47370899618688
"FCGR3B",-3.11722393539703,-3.24916371122341,1.36724244756686,-0.927537429643282,4.00822691079928,-2.30021385975732,3.8671749360752,-0.529220558679947,3.57442853035194,1.16184254707741,0.793879239972241,3.11289359102036,2.97109837649211,-0.981636445572148,1.6940644774711
"HAL",-2.91723202087502,-0.236554430171094,-1.69775699782908,-4.00826429944709,-1.56065984457651,-3.62718872490926,1.54199053816093,-4.33060743518316,-2.83485341483564,-6.29166265202969,4.50181489757917,-0.442310539558344,0.470927257475127,-1.47549094332663,-3.34403568272609
"KCNJ15",2.14215199719149,-3.19908312425227,-2.3063020759733,-2.172512630164,0.358688822548729,3.43907786865949,-0.552945611444191,-0.00160950243503953,-0.570500795054262,2.23298609387988,-1.61816291609395,1.00778394353786,-1.73555244535601,-1.43275830960359,-0.478854762128761
"MEGF9",0.3111891992384,1.29139138139353,1.54878677484331,0.39204259754869,1.6207177718246,1.67860830759981,1.34890091325625,0.990156166627391,1.65642314705961,0.843895431058209,1.4962782619157,1.16955947239632,2.01227545661172,-0.0752631122195958,2.2198562025506
"SLC25A37",0.691024888556594,1.61787206109715,0.239373599258007,1.6873653246924,1.63697488467599,0.683651544812485,1.49034934527268,1.34555534129313,2.51623456120695,2.41722602987629,1.54560270827294,3.76333720682954,1.78747843610611,0.957632344967357,2.02010389182591
"STEAP4",-2.88700368651155,-4.16824466358446,-2.65622607810524,-3.33560454318004,-1.04273912558651,0.186678031179496,0.35368462548932,0.625373368334967,-0.838060736152704,0.552741019160036,-2.28956624982242,0.334099123288484,-1.38697762344468,-1.31216530285674,0.113967146433002
"TECPR2",-0.80774017306682,-0.138489221116844,0.433728639520877,0.305713759687257,0.881836871131294,0.706119400463717,-0.157276955079586,1.05774831172326,0.47534433714261,0.358857580522566,0.876228133084816,-0.530580761583468,-0.00153295627736205,0.672316711431686,0.378189755381088
"TLE3",1.36885214307742,4.03685495329737,2.954322889689,2.982840287331,2.58640207280342,2.65789834109384,1.66274783280706,2.76270598994843,2.72781810124659,2.47728357608831,1.32860097328857,2.54364187776651,2.92038668167624,2.76523769033304,4.08890481542425
"TNFRSF10C",1.81075978332182,0.782878203143264,-1.33475641825221,-1.02999749233218,0.452131504934502,-0.544988217729129,0.453522846919403,3.57835910411004,2.68718613462847,-0.275526092691499,-1.78042316748437,2.98242413951266,0.519712984882178,2.73617405883786,-0.859532816767135
"VNN3",-1.08465196531219,-0.0807697687121296,-2.26481059074528,-1.40020995572189,-1.39153136816191,-1.81913415336236,0.614662734936576,-18.3227593266487,-1.77885295575311,-3.04350316966071,1.50883427425123,-1.56745529356218,-1.66067559005987,-2.70610692045539,-1.92801222743757
"ACVRL1",-0.719927384835516,-0.899840447668526,0.17388217179173,4.50299247018461,1.28416466970975,1.07148124082175,1.02508550866092,2.08959306186449,1.64880134247909,3.11698848097737,-0.24762133391331,2.08392475215467,3.24838454757759,1.11895767918955,1.13677543483233
"APLN",-1.7115067728656,-1.48459838104571,1.75331357199797,0.985653435301524,1.00026687389749,0.208866810369236,0.0234115027223246,-1.28545992781807,1.69806286327914,1.33330350412881,3.56551187886243,-1.3631633551147,-0.613555428728114,0.91963755398781,-0.916346825758666
"BCL6B",0.155826934088566,-0.426792246329437,0.233691761780766,0.981121989794311,1.34246372083671,1.71105872832654,0.275436215242313,1.78393014103878,2.08219844349688,1.89546161928298,1.25455171690813,-0.0764400380292922,1.53973949533009,0.644880716462964,-0.732200555901097
